
       instance   k    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact   ss  chroma_k_early  chroma_k  crit  edges  num_perturb  repl     time  time_confirm  time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          108     0     1800     0.0158368     1799.95               7441             0          1.02804  21.0063    1       7327       0       0     7
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          113     0     1800     0.0157265     1799.96               7478             0         0.919643  21.0056    1       7431       0       0     8
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          112     0     1800     0.0275827     1799.94               7473             0         0.936937  21.0053    1       7395       0       0     9
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          109     0     1800     0.0278986     1799.94               7441             0         0.972222  21.0065    1       7349       0       0    10
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          116     0     1800     0.0177092     1799.95               7618             0          1.02609   23.505    1       7528       0       0     1
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          108     0     1800     0.0175905     1799.95               7476             0          1.03738  23.5044    1       7302       0       0     2
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          110     0     1800     0.0321043     1799.94               7519             0          1.08257  23.5051    1       7373       0       0     3
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          116     0     1800     0.0319062     1799.94               7602             0         0.965217  23.5049    1       7520       0       0     4
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          115     0     1800     0.0177158     1799.95               7578             0         0.921053  23.5045    1       7484       0       0     5
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          113     0     1800     0.0174716     1799.95               7560             0          1.01786  23.5049    1       7444       0       0     6
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          114     0     1800     0.0301959     1799.94               7563             0         0.955752  23.5036    1       7475       0       0     7
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          115     0     1800     0.0306896     1799.94               7589             0         0.938596  23.5042    1       7467       0       0     8
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          111     0     1800     0.0177483     1799.95               7534             0          1.06364  23.5044    1       7397       0       0     9
  rand-50-0.1-4   4   50   122            0.5                1                1               1800         0   15               0         1     1     27          106     0     1800     0.0176265     1799.95               7444             0          1.09524  23.5045    1       7284       0       0    10
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          113     0     1800     0.0285054     1799.94               7520             0         0.946429  21.5041    1       7448       0       0     1
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          108     0     1800     0.0286368     1799.94               7488             0          1.21495   21.504    1       7376       0       0     2
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          111     0     1800     0.0167134     1799.95               7496             0         0.963636  21.5044    1       7388       0       0     3
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          115     0     1800     0.0165163     1799.95               7560             0                1  21.5041    1       7508       0       0     4
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          108     0     1800     0.0303033     1799.94               7452             0          1.02804  21.5042    1       7360       0       0     5
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          108     0     1800     0.0300142     1799.94               7445             0         0.962617   21.504    1       7329       0       0     6
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          110     0     1800     0.0166463     1799.95               7473             0         0.917431  21.5038    1       7344       0       0     7
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          113     0     1800     0.0165655     1799.95               7519             0         0.946429  21.5035    1       7452       0       0     8
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          108     0     1800     0.0288186     1799.94               7465             0          1.07477  21.5037    1       7345       0       0     9
  rand-50-0.1-5   4   50   122            0.5                1                1               1800         0   14               0         1     1     24          111     0     1800     0.0287332     1799.94               7505             0          1.04545  21.5037    1       7419       0       0    10
