       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit   edges         time     time_pp  time_confirm_crit    time_color  iter      ttb   itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   580         607         580               0         0           1     1    6149         1800     990.269               1800       1545.98    91  53.6766     1              1     1.79774     1.79853          580           216             0      90        0.255556         4.48889              80646            29171       0             2             0     2
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   580         607         584               0         0           1     1    6149      1800.01     1001.98               1800       1545.41    91  408.799    18             14     1.78962     1.79091          580           218             0      90        0.422222         4.72222              81339            29318       0             2             0     3
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   579         607         580               0         0           1     1    6141         1800     1001.38               1800       1544.44    91  822.182    39             30     1.76871     1.76979          579           218             0      90        0.355556         4.62222              81467            29634       0             2             0     4
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   578         607         581               0         0           1     1    6133      1800.01     1001.31               1800       1544.14    90  1632.29    79             45     1.74296      1.7439          578           218             0      89        0.314607          4.5618              81188            29742       0             2             0     5
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   579         607         581               0         0           1     1    6141         1800     1010.63               1800       1543.38    92  1661.99    83             71     1.80669     1.80764          579           221             0      91        0.307692          4.3956              81862            29331       0             2             0     6
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   580         607         581               0         0           1     1    6149      1800.01     1000.74               1800       1543.02    92  170.455     5              2     1.78201     1.78268          580           222             0      91         0.21978         4.59341              81793            29753       0             2             0     7
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   579         607         583               0         0           1     1    6141         1800     996.644               1800        1535.7    94  123.069     3              2     1.77139     1.77188          579           224             0      93         0.16129         4.78495              83638            30545       0             2             0     8
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   579         607         583               0         0           1     1    6141         1800     1020.67               1800       1543.87    94  1537.18    78             71     1.87874     1.87985          579           225             0      93        0.344086         4.77419              82269            28838       0             2             0     9
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   580         607         581               0         0           1     1    6149         1800      1020.1               1800       1543.52    93  144.664     4              3      1.8368     1.83769          580           222             0      92        0.282609         4.68478              82200            29185       0             2             0    10
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800      42.452          1.363e-06        55.757  3799  2.63593     1              1   0.0425987   0.0472595            9          7599             0    3798        0.984729         5.88336             818010           802442       0             4             0     1
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.2435           7.65e-07       55.4374  3788  3.31387     1              1   0.0424964   0.0471171            9          7577             0    3787        0.978611         5.88593             817534           802044       0             4             0     2
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.8055          1.741e-06       49.2758  1952  4.67061     1              1    0.042639   0.0472914            9          3905             0    1951         0.98206         5.83854             419905           411830       0             4             0     3
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.2003           7.28e-07       48.8824  1955  4.62287     1              1   0.0426519   0.0473083            9          3911             0    1954          0.9826         5.91709             420273           412338       0             4             0     4
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.4152          1.305e-06       49.3413  1949  4.49266     1              1   0.0425031   0.0471333            9          3899             0    1948        0.980493          5.8691             420511           412511       0             4             0     5
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.0391           9.23e-07       48.7992  1932  4.68285     1              1   0.0424893   0.0470976            9          3865             0    1931        0.976178         5.90937             416888           409044       0             4             0     6
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.5361          1.372e-06       49.4988  1933   4.6302     1              1   0.0423806   0.0469674            9          3867             0    1932         0.97412         5.83282             418298           410306       0             4             0     7
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.1853          1.571e-06        48.641  1950  4.65108     1              1   0.0425544   0.0471781            9          3901             0    1949        0.977937         5.90251             420159           412225       0             4             0     8
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     42.5042          1.146e-06       48.5428  1952  4.49826     1              1   0.0425317   0.0471433            9          3905             0    1951         0.97591         5.86007             420890           412869       0             4             0     9
    2-FullIns_3    5     52      201     52      201            0.5                1                1               1800  200        1.08       1     9          52          10               1         1           1     1      22         1800     41.7104           7.35e-07       48.8277  1950  4.60385     1              1   0.0423933    0.046997            9          3901             0    1949        0.977424         5.93946             421653           413792       0             4             0    10
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    19         212          26               1         1           1     1      75         1800       45.72          1.081e-06       66.3517  1788  7.71897     1              1   0.0256173   0.0339588           23          2338             0     541         6.19039         6.10351             411793           401486       0             4             0     1
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    19         212          24               1         1           1     1      75         1800     134.411           6.88e-07       67.4395  1553  7.13117     1              1   0.0774448    0.104903           24          3107             0    1550         6.73806         6.26581             410524           380361       0             4             0     2
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    19         212          25               1         1           1     1      75         1800     93.1621            1.1e-06        66.846  1675  6.65404     1              1   0.0526952   0.0710366           23          2770             0    1088         6.61489         6.23162             413459           392389       0             4             0     3
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    19         212          26               1         1           1     1      75         1800     71.3024           7.42e-07       66.9829  1733  7.46653     1              1   0.0400038   0.0536403           23          2579             0     837          6.4767         6.21983             413655           397537       0             4             0     4
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    19         212          26               1         1           1     1      75         1800     47.2179          1.253e-06       65.9525  1789  7.42197     1              1   0.0264646    0.035172           23          2355             0     557         6.25494         6.13645             410749           400119       0             4             0     5
    2-FullIns_4    6    212     1621    212     1621            0.5                1                1               1800  200        1.08       1    18         212          26               1         1           1     1      67         1800     102.269          1.148e-06       67.2886  1641     1800  1640           1639   0.0580409   0.0784208           23          2839             0    1189         6.67115         6.25736             412286           389208       0             4             0     6
