
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         232               0         0           1     1  24542  7200.01  5144.09               7200     6215.26   291  3149.17  123            105    0.795848    0.806391          226           610             0     290         3.02069         28.4448             141743            83085       0            90             0    10
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  267        1760         285               0         0           1     1  12534  7200.01  4492.35               7200     6468.17   161  2873.94   59             31    0.861466     0.87524          266           367             0     160         4.25625         32.6313              87392            49439       0            41             0     1
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  265        1760         265               0         0           1     1  12319  7200.01     4587               7200     6505.87   155   87.652    1              1    0.881027    0.898316          265           335             0     154         5.25325         31.3701              83807            46792       0            40             0     2
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  270        1760         285               0         0           1     1  12423  7200.01   4568.8               7200     6506.84   152  3942.86   79             34    0.869926    0.886864          267           343             0     151         5.21192         28.2252              83136            46466       0            40             0     3
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  268        1760         268               0         0           1     1  12317  7200.01  4597.14               7200     6503.76   155  84.8599    1              1    0.875658    0.891508          268           335             0     154         4.85065         29.3831              84592            47128       0            41             0     4
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  268        1760         272               0         0           1     1  12648  7200.02  4594.46               7200     6517.53   155  3348.32   68             32    0.896271    0.914428          268           338             0     154         5.42857          36.974              82384            46043       0            40             0     5
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  270        1760         269               0         0           1     1  12807  7200.01  4584.83               7200     6501.08   154  4335.84   90             86    0.872758     0.88984          268           331             0     153         5.24183         30.9346              83739            46950       0            40             0     6
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  269        1760         267               0         0           1     1  12646     7200  4541.61               7200     6477.78   159  6888.53  150            102    0.868832    0.884622          267           345             0     158         4.86076         33.1582              86158            48640       0            40             0     7
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  262        1760         262               0         0           1     1  12077  7200.01  4527.51               7200     6474.53   158  83.4563    1              1    0.862037    0.877955          262           336             0     157         4.93631         34.1274              85842            48687       0            41             0     8
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  269        1760         268               0         0           1     1  12674     7200  4556.48               7200     6487.67   154  5922.74  125             96    0.848084    0.865242          268           336             0     153         5.41176         31.9935              84890            48257       0            40             0     9
