       instance    k      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact    ss  chroma_k_early  chroma_k  crit    edges  num_perturb  repl       time  time_confirm   time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   593               0         0     0     3916           16     0       1800          1800      1784.16              10021             0          1.13333  1027.13   12       9349     204       0     9
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   593               0         0     0     3916           17     0       1800          1800      1784.14              10018             0                1  5.11876    1       9370     218       0    10
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           62     0       1800     0.0141568      1799.94               7234             0         0.983607  35.5085    1       7148       0       0     1
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           59     0       1800     0.0139428      1799.94               7231             0          1.18966  35.5085    1       7181       0       0     2
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           61     0       1800     0.0141945      1799.94               7224             0         0.933333  35.5088    1       7208       0       0     3
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           62     0       1800     0.0139014      1799.94               7227             0         0.885246  35.5086    1       7128       0       0     4
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           60     0       1800     0.0140517      1799.93               7221             0         0.949153  35.5092    1       7175       0       0     5
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           66     0       1800     0.0141651      1799.94               7244             0         0.892308   35.509    1       7274       0       0     6
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           57     0       1800     0.0142124      1799.94               7209             0          1.01786  35.5097    1       7182       0       0     7
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           56     0       1800     0.0140827      1799.94               7211             0          1.10909  35.5088    1       7163       0       0     8
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           57     0       1800     0.0139873      1799.94               7212             0                1  35.5084    1       7076       0       0     9
    3-FullIns_3    6     80      346            0.5                1                1               1800         0    11               0         1     1       35           66     0       1800     0.0139569      1799.94               7247             0         0.892308   35.509    1       7169       0       0    10
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           15     0       1800     0.0255093      1798.89               6935             0         0.785714  197.804    1       7224       0       0     1
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           11     0       1800     0.0251513      1798.86               6884             0              1.6  197.807    1       7011       0       0     2
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           16     0       1800     0.0251539      1798.92               6951             0         0.866667  197.819    1       6992       0       0     3
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           10     0       1800     0.0252225      1798.85               6870             0          1.77778   198.31    1       6920       1       0     4
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           14     0       1800     0.0255668       1798.9               6927             0          1.23077  197.835    1       7220       0       0     5
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           14     0       1800     0.0254838      1798.88               6924             0                1  197.812    1       7175       0       0     6
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           11     0       1800     0.0258872      1798.85               6881             0              1.3  197.803    1       7002       0       0     7
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           15     0       1800     0.0269268      1798.91               6939             0                1  197.801    1       7259       0       0     8
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           12     0       1800     0.0250667      1798.87               6895             0          1.18182  197.825    1       7071       0       0     9
    3-FullIns_4    7    405     3524            0.5                1                1               1800         0    23               0         1     1      116           14     0       1800     0.0264405      1798.89               6922             0         0.846154  197.804    1       7217       0       0    10
    3-FullIns_5    8   2030    33751            0.5                1                1               1800         0    47               0         1     1      371            2     0       1800     0.0843631      1750.13               5147             0                1  1029.11    1       4061       0       0     1
    3-FullIns_5    8   2030    33751            0.5                1                1               1800         0    47               0         1     1      371            4     0       1800     0.0856973       1750.4               5225             0         0.333333  1029.23    1       4343       0       0     2
