       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time             time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff              ss_fin_avg              ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp         avg_pp_reduced        avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          57               1         1           1     1      144  300.000143542   74.80698623200001              5.5e-08            6.6e-08        57.97824765600025   107   17.939302694    1              1      0.1066190659976843     0.20336420944294353           57           223             0     106      28.37735849056604     5.056603773584905              36819            31092       0             3             0     7
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          59               1         1           1     1      144  300.001609146   72.06809711800001              5.3e-08            8.4e-08        56.51595475599994   105   19.446216859    1              1     0.10430097180794766     0.19862728118284742           58           222             0     104     28.278846153846153     5.086538461538462              36784            31179       0             3             0     8
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          60               1         1           1     1      144   300.00032192   81.94494832799998                6e-08            7.3e-08        74.01048305499997   252   17.948451052    1              1     0.10914858236798346     0.20927015357097942           57           515             0     251     28.545816733067728     5.039840637450199              85213            71563       0             3             0     9
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          61               1         1           1     1      144  300.000043258   82.42955228299998             3.08e-07            3.2e-07        74.30127479600017   257   14.884229998    1              1      0.1094679842223169      0.2099064059042619           58           528             0     256              28.546875            5.10546875              86667            72761       0             3             0    10
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   19.024158951                   0              7.9e-08        3.471266187       3.3620989730000037     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     1
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   21.270626922                   0              6.2e-08        4.643574385        5.657401523999993     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     2
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   29.665220577                   0             4.22e-07        2.932147399        13.04085265700001     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     3
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   20.291948466                   0             2.42e-07        2.244071509        4.913666319999998     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     4
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   24.146060858                   0             1.54e-07        2.332067458        8.209697978000007     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     5
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   13.956482742                   0              2.1e-07        3.826517677       2.9528752880000018     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     6
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       0    67          67          67               1         1           0     1      232   13.033296172                   0              5.5e-08        3.958930061       2.3794784819999966     1              0    0              0                       0                       0           67            11             0       0                     NA                    NA               2200             2200       0             2             0     7
